timestamp,filename,seconds,dataRate,simTime,packetSize,numberOfUes,00:00 ? 08:00,08:00 ? 12:00,12:00 ? 17:00,17:00 ? 20:00,20:00 ? 00:00
Tue Aug 22 00:00:00 1995,/SDSC/Partners/vrml/Images/cube.gif,0,70.32,2,151,4,5323,7788,9165,2716,2715
Tue Aug 22 00:00:00 1995,/SDSC/Partners/vrml/Images/cone.gif,0,127.44,4,60,2,,,,,
Tue Aug 22 00:00:05 1995,/wow/mexico/resort/redb.gif,5,252.78,1,85,6,,,,,
Tue Aug 22 00:00:09 1995,/wow/mexico/cancun/cancan.html,9,595.28,3,85,4,,,,,
Tue Aug 22 00:00:16 1995,/SDSC/Partners/vrml/software/browsers.html,16,364.22,2,182,7,,,,,
Tue Aug 22 00:00:20 1995,/EnablingTech/Visualization/Behaviors/vrml_lang_interface.html,20,126.54,2,280,3,,,,,
Tue Aug 22 00:00:22 1995,/EnablingTech/Visualization/Behaviors/Images/cube.gif,22,46.85,1,258,5,,,,,
Tue Aug 22 00:00:22 1995,/EnablingTech/Visualization/Behaviors/Images/cone.gif,22,134.08,3,357,2,,,,,
Tue Aug 22 00:00:22 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,22,409.49,1,191,5,,,,,
Tue Aug 22 00:00:22 1995,/vrml,22,73.11,3,316,8,,,,,
Tue Aug 22 00:00:28 1995,,28,,,,,,,,,
Tue Aug 22 00:00:28 1995,,28,,,,,,,,,
Tue Aug 22 00:00:33 1995,/wow/mexico/cancun/cancan.jpg,33,155.26,3,291,4,,,,,
Tue Aug 22 00:00:54 1995,/SDSC/Geninfo/copyright.txt,54,280.35,1,198,8,,,,,
Tue Aug 22 00:00:56 1995,/vrml,56,73.11,3,316,3,,,,,
Tue Aug 22 00:00:58 1995,/SDSC/Partners/vrml/Images/vrml.banner.gif,58,450.42,1,380,4,,,,,
Tue Aug 22 00:00:59 1995,/wow/mexico/cancun/cancan.html,59,595.28,3,85,5,,,,,
Tue Aug 22 00:01:01 1995,/SDSC/Partners/vrml/Images/cone.gif,61,127.44,4,60,6,,,,,
Tue Aug 22 00:01:03 1995,/SDSC/Partners/vrml/Images/cube.gif,63,70.32,2,151,2,,,,,
Tue Aug 22 00:01:04 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,64,534.53,3,323,3,,,,,
Tue Aug 22 00:01:04 1995,/SDSC/Partners/vrml/software/develop_lib-vrml.html,64,522.29,1,192,4,,,,,
Tue Aug 22 00:01:15 1995,/wow/mexico/cancun/canhome.html,75,536.93,2,263,3,,,,,
Tue Aug 22 00:01:17 1995,/wow/mexico/cancun/acan3.jpg,77,512.04,2,367,2,,,,,
Tue Aug 22 00:01:21 1995,/wow/mexico/cancun/pyr.gif,81,386.82,2,338,7,,,,,
Tue Aug 22 00:01:22 1995,/wow/mexico/cancun/acan2.jpg,82,275.5,1,233,2,,,,,
Tue Aug 22 00:01:49 1995,/SDSC/Geninfo,109,360.11,3,228,6,,,,,
Tue Aug 22 00:01:50 1995,/wow/mexico/cancun/canhome.html,110,536.93,2,263,7,,,,,
Tue Aug 22 00:01:55 1995,/SDSC/Overview/overview.txt,115,247.65,1,71,6,,,,,
Tue Aug 22 00:02:05 1995,/EnablingTech/Visualization/Behaviors,125,472.29,4,63,1,,,,,
Tue Aug 22 00:02:36 1995,/wow/mexico/mexico1.html,156,423.34,4,404,3,,,,,
Tue Aug 22 00:02:40 1995,/wow/cgi-bin/maps/tc-3.jpg,160,235.04,3,211,2,,,,,
Tue Aug 22 00:02:46 1995,,166,,,,,,,,,
Tue Aug 22 00:02:46 1995,,166,,,,,,,,,
Tue Aug 22 00:02:59 1995,/vrml,179,73.11,3,316,6,,,,,
Tue Aug 22 00:03:01 1995,/SDSC/Partners/vrml/Images/cone.gif,181,127.44,4,60,2,,,,,
Tue Aug 22 00:03:01 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,181,534.53,3,323,6,,,,,
Tue Aug 22 00:03:10 1995,/SDSC/Partners/vrml/repos_software.html,190,387.05,2,440,5,,,,,
Tue Aug 22 00:03:16 1995,/SDSC/Partners/vrml/software/browsers.html,196,364.22,2,182,3,,,,,
Tue Aug 22 00:03:18 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,198,409.49,1,191,7,,,,,
Tue Aug 22 00:03:19 1995,/cgi-bin/imagemap.cgi,199,509.15,3,465,3,,,,,
Tue Aug 22 00:03:20 1995,/wow/mexico/city/main.html,200,157.77,4,333,4,,,,,
Tue Aug 22 00:03:25 1995,/wow/wow-mbos.gif,205,330.22,4,89,3,,,,,
Tue Aug 22 00:03:27 1995,/wow/mexico/maps/mexmap2d.gif,207,176.23,1,479,3,,,,,
Tue Aug 22 00:03:37 1995,/SDSC/Partners/vrml/Images/cone.gif,217,127.44,4,60,6,,,,,
Tue Aug 22 00:03:39 1995,/SDSC/Partners/vrml/Images/cube.gif,219,70.32,2,151,7,,,,,
Tue Aug 22 00:03:43 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,223,534.53,3,323,8,,,,,
Tue Aug 22 00:03:52 1995,/vrml,232,73.11,3,316,7,,,,,
Tue Aug 22 00:03:53 1995,/SDSC/Partners/vrml/Images/vrml.banner.gif,233,450.42,1,380,2,,,,,
Tue Aug 22 00:03:59 1995,/SDSC/Partners/vrml/Images/cone.gif,239,127.44,4,60,4,,,,,
Tue Aug 22 00:04:01 1995,/SDSC/Partners/vrml/repos_software.html,241,387.05,2,440,5,,,,,
Tue Aug 22 00:04:05 1995,/.cache,245,169.79,3,286,3,,,,,
Tue Aug 22 00:04:07 1995,/SDSC/Partners/vrml/Images/cube.gif,247,70.32,2,151,1,,,,,
Tue Aug 22 00:04:07 1995,/SDSC/Partners/vrml/software/browsers.html,247,364.22,2,182,4,,,,,
Tue Aug 22 00:04:09 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,249,409.49,1,191,1,,,,,
Tue Aug 22 00:04:12 1995,/wow/mexico/cancun/playacar/playacr.html,252,465.56,4,370,4,,,,,
Tue Aug 22 00:04:13 1995,/SDSC/Partners/vrml/repos_software.html,253,387.05,2,440,5,,,,,
Tue Aug 22 00:04:14 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,254,534.53,3,323,7,,,,,
Tue Aug 22 00:04:18 1995,/wow/mexico/cancun/plya-brk.jpg,258,113.35,2,365,7,,,,,
Tue Aug 22 00:04:21 1995,/SDSC/Partners/vrml/Images/cube.gif,261,70.32,2,151,7,,,,,
Tue Aug 22 00:04:29 1995,/SDSC/Partners/vrml/repos_software.html,269,387.05,2,440,8,,,,,
Tue Aug 22 00:04:34 1995,/SDSC/Partners/vrml/Archives/vrml10-3.html,274,345.75,4,252,6,,,,,
Tue Aug 22 00:04:40 1995,/SDSC/Partners/vrml/repos_software.html,280,387.05,2,440,5,,,,,
Tue Aug 22 00:04:40 1995,/SDSC/Partners/vrml/software/util.html,280,529.4,1,97,1,,,,,
Tue Aug 22 00:04:41 1995,/SDSC/Partners/vrml/Images/cone.gif,281,127.44,4,60,6,,,,,
Tue Aug 22 00:04:41 1995,/SDSC/Partners/vrml/Images/cube.gif,281,70.32,2,151,8,,,,,
Tue Aug 22 00:04:46 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,286,409.49,1,191,5,,,,,
Tue Aug 22 00:05:07 1995,,307,,,,,,,,,
Tue Aug 22 00:05:07 1995,,307,,,,,,,,,
Tue Aug 22 00:05:09 1995,/SDSC/Partners/vrml/software/textures.html,309,229.11,2,387,5,,,,,
Tue Aug 22 00:05:10 1995,/SDSC/Partners/vrml/software/browsers.html,310,364.22,2,182,3,,,,,
Tue Aug 22 00:05:13 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,313,409.49,1,191,6,,,,,
Tue Aug 22 00:05:16 1995,/wow/mexico/cancun/playacar/playacr1.html,316,288.48,2,304,8,,,,,
Tue Aug 22 00:05:18 1995,/wow/mexico/cancun/playacar/golf1.jpg,318,77.86,4,340,4,,,,,
Tue Aug 22 00:05:28 1995,/vrml,328,73.11,3,316,1,,,,,
Tue Aug 22 00:05:33 1995,/SDSC/Partners/vrml/Images/vrml.banner.gif,333,450.42,1,380,7,,,,,
Tue Aug 22 00:05:37 1995,/EnablingTech/Visualization/vrml/webview.html,337,445.63,2,457,6,,,,,
Tue Aug 22 00:05:41 1995,/EnablingTech/Visualization/vrml/tools/webview/help/webview.gif,341,400.6,2,314,4,,,,,
Tue Aug 22 00:05:43 1995,/SDSC/Partners/vrml/Images/cone.gif,343,127.44,4,60,4,,,,,
Tue Aug 22 00:05:44 1995,/SDSC/Partners/vrml/software/browsers.html,344,364.22,2,182,5,,,,,
Tue Aug 22 00:05:45 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,345,409.49,1,191,1,,,,,
Tue Aug 22 00:05:47 1995,/SDSC/Partners/vrml/Images/cube.gif,347,70.32,2,151,7,,,,,
Tue Aug 22 00:05:49 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,349,534.53,3,323,1,,,,,
Tue Aug 22 00:05:55 1995,,355,,,,,,,,,
Tue Aug 22 00:05:55 1995,,355,,,,,,,,,
Tue Aug 22 00:06:15 1995,/SDSC/Partners/vrml/examples.html,375,68.84,4,229,4,,,,,
Tue Aug 22 00:06:15 1995,/wow/mexico/cancun/cozumel.html,375,490.36,3,492,1,,,,,
Tue Aug 22 00:06:17 1995,/wow/mexico/cancun/cozumel.jpg,377,413.65,2,317,3,,,,,
Tue Aug 22 00:06:19 1995,/SDSC/Partners/vrml/doc.html,379,521.4,3,304,4,,,,,
Tue Aug 22 00:06:22 1995,/SDSC/Partners/vrml/repos_software.html,382,387.05,2,440,4,,,,,
Tue Aug 22 00:06:26 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,386,409.49,1,191,2,,,,,
Tue Aug 22 00:06:30 1995,/SDSC/Partners/vrml/software/browsers.html,390,364.22,2,182,5,,,,,
Tue Aug 22 00:07:14 1995,,434,,,,,,,,,
Tue Aug 22 00:07:14 1995,,434,,,,,,,,,
Tue Aug 22 00:08:05 1995,/wow/mexico/resort/resort.html,485,75.74,4,73,7,,,,,
Tue Aug 22 00:08:26 1995,/wow/mexico/resort/redb.gif,506,252.78,1,85,6,,,,,
Tue Aug 22 00:08:27 1995,/wow/mexico/resort/gallery-2.jpg,507,411.88,2,376,2,,,,,
Tue Aug 22 00:08:41 1995,/SDSC/Partners/vrml/Images/cube.gif,521,70.32,2,151,1,,,,,
Tue Aug 22 00:08:41 1995,/SDSC/Partners/vrml/Images/vrml.banner.gif,521,450.42,1,380,4,,,,,
Tue Aug 22 00:08:41 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,521,534.53,3,323,5,,,,,
Tue Aug 22 00:08:42 1995,,522,,,,1,,,,,
Tue Aug 22 00:08:42 1995,,522,,,,3,,,,,
Tue Aug 22 00:08:42 1995,,522,,,,3,,,,,
Tue Aug 22 00:08:44 1995,/SDSC/Partners/vrml/Images/cone.gif,524,127.44,4,60,1,,,,,
Tue Aug 22 00:08:53 1995,/SDSC/Partners/Surfrider/hdsurf.gif,533,464.69,1,288,6,,,,,
Tue Aug 22 00:08:54 1995,/SDSC/Partners/Surfrider/air1.gif,534,336.3,2,334,5,,,,,
Tue Aug 22 00:09:06 1995,/wow/situr/glo-main.html,546,591.8,2,313,6,,,,,
Tue Aug 22 00:09:09 1995,/surf/Images/surfpic_icon.gif,549,259.2,4,71,7,,,,,
Tue Aug 22 00:09:14 1995,/wow/situr/tanwave.gif,554,138.18,3,396,7,,,,,
Tue Aug 22 00:09:16 1995,/wow/situr/plas_bar.jpg,556,538.88,1,460,7,,,,,
Tue Aug 22 00:09:40 1995,/wow/situr/plza-x.jpg,580,259.47,1,231,2,,,,,
Tue Aug 22 00:09:51 1995,/SDSC/Partners/vrml/software/geom_trans.html,591,568.34,2,419,1,,,,,
Tue Aug 22 00:10:07 1995,/SDSC/Partners/vrml/repos_software.html,607,387.05,2,440,8,,,,,
Tue Aug 22 00:10:12 1995,/SDSC/Partners/vrml/software/geom_trans.html,612,568.34,2,419,7,,,,,
Tue Aug 22 00:10:43 1995,/wow/situr/glorias-map.html,643,276.47,3,263,8,,,,,
Tue Aug 22 00:10:45 1995,/wow/situr/plaza-1.jpg,645,528.51,2,218,7,,,,,
Tue Aug 22 00:11:20 1995,/SDSC/Partners/vrml/Images/vrml.banner.gif,680,450.42,1,380,2,,,,,
Tue Aug 22 00:11:20 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,680,534.53,3,323,1,,,,,
Tue Aug 22 00:11:50 1995,/SDSC/Partners/vrml/examples.html,710,68.84,4,229,1,,,,,
